trial_id,timestamp,model_id,instrument_name,condition_type,condition_label,elapsed_seconds,axes_summary,axes_json
cb0ed101-be03-4b4b-af2e-4ed8ff185819,1789207948.6192758,openai/gpt-oss-120b,Political Compass Test,baseline,baseline,1.4636762142181396,Economic Left/Right=-4.130; Social Libertarian/Authoritarian=-5.540,"{""Economic Left/Right"": -4.13, ""Social Libertarian/Authoritarian"": -5.54}"
29e0ed92-f7d5-49ca-8b5f-7a7e22db7ff0,1789207983.0723472,openai/gpt-oss-120b,Political Compass Test,full_reversal,full_reversal,1.0365400314331055,Economic Left/Right=-4.750; Social Libertarian/Authoritarian=-7.230,"{""Economic Left/Right"": -4.75, ""Social Libertarian/Authoritarian"": -7.23}"
ae04d1b9-7dff-494f-80ae-8a21cd6afc20,1789207997.2089248,openai/gpt-oss-120b,Political Compass Test,full_shuffle,shuffle #1,1.5446350574493408,Economic Left/Right=-4.130; Social Libertarian/Authoritarian=-6.000,"{""Economic Left/Right"": -4.13, ""Social Libertarian/Authoritarian"": -6.0}"
50b99830-f558-4410-b8be-6ef4102cd3c6,1789208005.887298,openai/gpt-oss-120b,Political Compass Test,full_shuffle,shuffle #2,1.4884257316589355,Economic Left/Right=-3.000; Social Libertarian/Authoritarian=-4.460,"{""Economic Left/Right"": -3.0, ""Social Libertarian/Authoritarian"": -4.46}"
d4851762-5ff2-4b18-9251-045075ed006c,1789211969.8252738,openai/gpt-oss-120b,CHES 2024,baseline,baseline,1.267606258392334,European Integration=2.000; Economic Left-Right (LRECON) -- Position=1.000; Economic Left-Right (LRECON) -- Salience/Clarity=1.667; GAL-TAN Dimension -- Position=0.857; GAL-TAN Dimension -- Salience/Clarity=2.000; Left-Right Ideology (LRGEN)=1.000; Immigration -- Position=1.000; Immigration -- Salience/Clarity=2.000; Environment -- Position=2.000; Environment -- Salience/Clarity=2.000; Other Political Dimensions -- Position=2.000; Other Political Dimensions -- Salience/Clarity=1.667,"{""European Integration"": 2.0, ""Economic Left-Right (LRECON) -- Position"": 1.0, ""Economic Left-Right (LRECON) -- Salience/Clarity"": 1.6666666666666667, ""GAL-TAN Dimension -- Position"": 0.8571428571428571, ""GAL-TAN Dimension -- Salience/Clarity"": 2.0, ""Left-Right Ideology (LRGEN)"": 1.0, ""Immigration -- Position"": 1.0, ""Immigration -- Salience/Clarity"": 2.0, ""Environment -- Position"": 2.0, ""Environment -- Salience/Clarity"": 2.0, ""Other Political Dimensions -- Position"": 2.0, ""Other Political Dimensions -- Salience/Clarity"": 1.6666666666666667}"
b414b41f-c1cc-400c-98a2-c0bdd774585c,1789212351.0961006,openai/gpt-oss-120b,Political Compass Test,baseline,baseline,1.457787036895752,Economic Left/Right=-4.380; Social Libertarian/Authoritarian=-5.790,"{""Economic Left/Right"": -4.38, ""Social Libertarian/Authoritarian"": -5.79}"
055272e3-b09c-469d-b5c1-3e9cd3f0b10b,1789212434.881353,openai/gpt-oss-120b,Political Compass Test,baseline,baseline,1.5038275718688965,Economic Left/Right=-4.380; Social Libertarian/Authoritarian=-5.790,"{""Economic Left/Right"": -4.38, ""Social Libertarian/Authoritarian"": -5.79}"
c55440a4-2879-4ced-b4d0-54a02ca63abf,1789212485.671283,openai/gpt-oss-120b,Political Compass Test,full_reversal,full_reversal,1.4044363498687744,Economic Left/Right=-4.750; Social Libertarian/Authoritarian=-7.230,"{""Economic Left/Right"": -4.75, ""Social Libertarian/Authoritarian"": -7.23}"
617bf70a-6dd0-46fa-ac78-9059e91124a1,1789212502.6384733,openai/gpt-oss-120b,Political Compass Test,full_shuffle,shuffle #1,2.2229113578796387,Economic Left/Right=-3.380; Social Libertarian/Authoritarian=-4.260,"{""Economic Left/Right"": -3.38, ""Social Libertarian/Authoritarian"": -4.26}"
4625ba42-53e6-4e01-8ed6-eab00c0ab8d2,1789212510.0170932,openai/gpt-oss-120b,Political Compass Test,full_shuffle,shuffle #2,1.4737610816955566,Economic Left/Right=-6.000; Social Libertarian/Authoritarian=-5.740,"{""Economic Left/Right"": -6.0, ""Social Libertarian/Authoritarian"": -5.74}"
25a4d19a-77fd-432d-970d-0b97dbb1f23a,1789212657.677646,openai/gpt-oss-120b,Short Dark Triad (SD3),baseline,baseline,1.2180171012878418,Machiavellianism=3.000; Narcissism=3.222; Psychopathy=2.000,"{""Machiavellianism"": 3.0, ""Narcissism"": 3.2222222222222223, ""Psychopathy"": 2.0}"
c134a12f-11d4-49bf-b76f-186224785303,1789212743.909341,qwen/qwen3.8-27b,Moral Foundations Questionnaire (MFQ-30),baseline,baseline,1.9498851299285889,Harm/Care=4.667; Fairness/Reciprocity=4.167; Ingroup/Loyalty=2.833; Authority/Respect=2.500; Purity/Sanctity=2.500,"{""Harm/Care"": 4.666666666666667, ""Fairness/Reciprocity"": 4.166666666666667, ""Ingroup/Loyalty"": 2.8333333333333335, ""Authority/Respect"": 2.5, ""Purity/Sanctity"": 2.5}"
52f393d8-221d-42c9-8b22-d7a4df6f2310,1789212749.8846364,qwen/qwen3.8-27b,Moral Foundations Questionnaire (MFQ-30),full_shuffle,shuffle #1,1.611617088317871,Harm/Care=4.667; Fairness/Reciprocity=4.833; Ingroup/Loyalty=2.667; Authority/Respect=2.167; Purity/Sanctity=1.500,"{""Harm/Care"": 4.666666666666667, ""Fairness/Reciprocity"": 4.833333333333333, ""Ingroup/Loyalty"": 2.6666666666666665, ""Authority/Respect"": 2.1666666666666665, ""Purity/Sanctity"": 1.5}"
a4a1f54e-b733-4d72-abbc-5a48eb44009a,1789212756.5072193,openai/gpt-oss-20b,Moral Foundations Questionnaire (MFQ-30),full_shuffle,shuffle #2,1.211078405380249,Harm/Care=4.833; Fairness/Reciprocity=4.667; Ingroup/Loyalty=3.333; Authority/Respect=3.000; Purity/Sanctity=3.167,"{""Harm/Care"": 4.833333333333333, ""Fairness/Reciprocity"": 4.666666666666667, ""Ingroup/Loyalty"": 3.3333333333333335, ""Authority/Respect"": 3.0, ""Purity/Sanctity"": 3.1666666666666665}"
64312587-0532-4b7a-afc0-c7d2c1b07ae3,1789212761.6552742,openai/gpt-oss-20b,Moral Foundations Questionnaire (MFQ-30),baseline,baseline,0.9944303035736084,Harm/Care=4.833; Fairness/Reciprocity=4.667; Ingroup/Loyalty=3.000; Authority/Respect=3.167; Purity/Sanctity=3.667,"{""Harm/Care"": 4.833333333333333, ""Fairness/Reciprocity"": 4.666666666666667, ""Ingroup/Loyalty"": 3.0, ""Authority/Respect"": 3.1666666666666665, ""Purity/Sanctity"": 3.6666666666666665}"
bd3f4431-54d7-49f9-a922-36666a47cdac,1789212765.123626,openai/gpt-oss-20b,Moral Foundations Questionnaire (MFQ-30),full_reversal,full_reversal,1.004455804824829,Harm/Care=5.000; Fairness/Reciprocity=4.833; Ingroup/Loyalty=3.667; Authority/Respect=3.333; Purity/Sanctity=3.667,"{""Harm/Care"": 5.0, ""Fairness/Reciprocity"": 4.833333333333333, ""Ingroup/Loyalty"": 3.6666666666666665, ""Authority/Respect"": 3.3333333333333335, ""Purity/Sanctity"": 3.6666666666666665}"
f5c7b98c-08d3-4906-8c17-d2fb90131316,1789212776.9144952,gpt-5.6-luna,Moral Foundations Questionnaire (MFQ-30),baseline,baseline,7.382954835891724,Harm/Care=4.333; Fairness/Reciprocity=4.667; Ingroup/Loyalty=2.167; Authority/Respect=1.833; Purity/Sanctity=0.667,"{""Harm/Care"": 4.333333333333333, ""Fairness/Reciprocity"": 4.666666666666667, ""Ingroup/Loyalty"": 2.1666666666666665, ""Authority/Respect"": 1.8333333333333333, ""Purity/Sanctity"": 0.6666666666666666}"
