trial_id,model_id,condition_type,condition_label,item_id,block,position,value
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,globalisationinevitable,National/Global Outlook,1,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,countryrightorwrong,National/Global Outlook,2,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,proudofcountry,National/Global Outlook,3,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,racequalities,National/Global Outlook,4,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,enemyenemyfriend,National/Global Outlook,5,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,militaryactionlaw,National/Global Outlook,6,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,fusioninfotainment,National/Global Outlook,7,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,classthannationality,Economic Policy,8,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,inflationoverunemployment,Economic Policy,9,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,corporationstrust,Economic Policy,10,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,fromeachability,Economic Policy,11,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,freermarketfreerpeople,Economic Policy,12,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,bottledwater,Economic Policy,13,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,landcommodity,Economic Policy,14,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,manipulatemoney,Economic Policy,15,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,protectionismnecessary,Economic Policy,16,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,companyshareholders,Economic Policy,17,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,richtaxed,Economic Policy,18,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,paymedical,Economic Policy,19,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,penalisemislead,Economic Policy,20,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,freepredatormulinational,Economic Policy,21,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,abortionillegal,Personal/Social Values,22,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,questionauthority,Personal/Social Values,23,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,eyeforeye,Personal/Social Values,24,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,taxtotheatres,Personal/Social Values,25,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,schoolscompulsory,Personal/Social Values,26,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,ownkind,Personal/Social Values,27,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,spankchildren,Personal/Social Values,28,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,naturalsecrets,Personal/Social Values,29,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,marijuanalegal,Personal/Social Values,30,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,schooljobs,Personal/Social Values,31,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,inheritablereproduce,Personal/Social Values,32,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,childrendiscipline,Personal/Social Values,33,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,savagecivilised,Personal/Social Values,34,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,abletowork,Personal/Social Values,35,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,represstroubles,Personal/Social Values,36,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,immigrantsintegrated,Personal/Social Values,37,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,goodforcorporations,Personal/Social Values,38,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,broadcastingfunding,Personal/Social Values,39,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,libertyterrorism,Wider Society,40,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,onepartystate,Wider Society,41,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,serveillancewrongdoers,Wider Society,42,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,deathpenalty,Wider Society,43,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,societyheirarchy,Wider Society,44,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,abstractart,Wider Society,45,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,punishmentrehabilitation,Wider Society,46,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,wastecriminals,Wider Society,47,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,businessart,Wider Society,48,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,mothershomemakers,Wider Society,49,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,plantresources,Wider Society,50,2
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,peacewithestablishment,Wider Society,51,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,astrology,Faith/Religion,52,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,moralreligious,Faith/Religion,53,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,charitysocialsecurity,Faith/Religion,54,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,naturallyunlucky,Faith/Religion,55,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,schoolreligious,Faith/Religion,56,0
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,sexoutsidemarriage,Faith/Religion,57,1
cb0ed101-be03-4b4b-af2e-4ed8ff185819,openai/gpt-oss-120b,baseline,baseline,homosexualadoption,Sexual Ethics,58,2
